Pressao inicial;Pressao final;Deslocamento;Toxicidade de A
0.3;0.1;0.2;0.295
0.4;0.1;0.2;0.3925
0.5;0.1;0.2;0.49
0.6;0.1;0.2;0.5875
0.7;0.1;0.2;0.685
0.8;0.1;0.2;0.7825
0.9;0.1;0.2;0.88
1;0.1;0.2;0.9775
0;0.2;0.2;0.005
0.1;0.2;0.2;0.1025
0.2;0.2;0.2;0.2
0.3;0.2;0.2;0.2975
0.4;0.2;0.2;0.395
0.5;0.2;0.2;0.4925
0.6;0.2;0.2;0.59
0.7;0.2;0.2;0.6875
0.8;0.2;0.2;0.785
0.9;0.2;0.2;0.8825
1;0.2;0.2;0.98
0;0.3;0.2;0.0075
0.1;0.3;0.2;0.105
0.2;0.3;0.2;0.2025
0.3;0.3;0.2;0.3
0.4;0.3;0.2;0.3975
0.5;0.3;0.2;0.495
0.6;0.3;0.2;0.5925
0.7;0.3;0.2;0.69
0.8;0.3;0.2;0.7875
0.9;0.3;0.2;0.885
1;0.3;0.2;0.9825
0;0.4;0.2;0.01
0.1;0.4;0.2;0.1075
0.2;0.4;0.2;0.205
0.3;0.4;0.2;0.3025
0.4;0.4;0.2;0.4
0.5;0.4;0.2;0.4975
0.6;0.4;0.2;0.595
0.7;0.4;0.2;0.6925
0.8;0.4;0.2;0.79
0.9;0.4;0.2;0.8875
1;0.4;0.2;0.985
0;0.5;0.2;0.0125
0.1;0.5;0.2;0.11
0.2;0.5;0.2;0.2075
0.3;0.5;0.2;0.305
0.4;0.5;0.2;0.4025
0.5;0.5;0.2;0.5
0.6;0.5;0.2;0.5975
0.7;0.5;0.2;0.695
0.8;0.5;0.2;0.7925
0.9;0.5;0.2;0.89
1;0.5;0.2;0.9875
0;0.6;0.2;0.015
0.1;0.6;0.2;0.1125
0.2;0.6;0.2;0.21
0.3;0.6;0.2;0.3075
0.4;0.6;0.2;0.405
0.5;0.6;0.2;0.5025
0.6;0.6;0.2;0.6
0.7;0.6;0.2;0.6975
0.8;0.6;0.2;0.795
0.9;0.6;0.2;0.8925
1;0.6;0.2;0.99
0;0.7;0.2;0.0175
0.1;0.7;0.2;0.115
0.2;0.7;0.2;0.2125
0.3;0.7;0.2;0.31
0.4;0.7;0.2;0.4075
0.5;0.7;0.2;0.505
0.6;0.7;0.2;0.6025
0.7;0.7;0.2;0.7
0.8;0.7;0.2;0.7975
0.9;0.7;0.2;0.895
1;0.7;0.2;0.9925
0;0.8;0.2;0.02
0.1;0.8;0.2;0.1175
0.2;0.8;0.2;0.215
0.3;0.8;0.2;0.3125
0.4;0.8;0.2;0.41
0.5;0.8;0.2;0.5075
0.6;0.8;0.2;0.605
0.7;0.8;0.2;0.7025
0.8;0.8;0.2;0.8
0.9;0.8;0.2;0.8975
1;0.8;0.2;0.995
0;0.9;0.2;0.0225
0.1;0.9;0.2;0.12
0.2;0.9;0.2;0.2175
0.3;0.9;0.2;0.315
0.4;0.9;0.2;0.4125
0.5;0.9;0.2;0.51
0.6;0.9;0.2;0.6075
0.7;0.9;0.2;0.705
0.8;0.9;0.2;0.8025
0.9;0.9;0.2;0.9
1;0.9;0.2;0.9975
0;1;0.2;0.025
0.1;1;0.2;0.1225
0.2;1;0.2;0.22
0.3;1;0.2;0.3175
0.4;1;0.2;0.415
0.5;1;0.2;0.5125
0.6;1;0.2;0.61
0.7;1;0.2;0.7075
0.8;1;0.2;0.805
0.9;1;0.2;0.9025
1;1;0.2;1
0;0;0.4;0
0.1;0;0.4;0.095
0.2;0;0.4;0.19
0.3;0;0.4;0.285
0.4;0;0.4;0.38
0.5;0;0.4;0.475
0.6;0;0.4;0.57
0.7;0;0.4;0.665
0.8;0;0.4;0.76
0.9;0;0.4;0.855
1;0;0.4;0.95
0;0.1;0.4;0.005
0.1;0.1;0.4;0.1
0.2;0.1;0.4;0.195
0.3;0.1;0.4;0.29
0.4;0.1;0.4;0.385
0.5;0.1;0.4;0.48
0.6;0.1;0.4;0.575
0.7;0.1;0.4;0.67
0.8;0.1;0.4;0.765
0.9;0.1;0.4;0.86
1;0.1;0.4;0.955
0;0.2;0.4;0.01
0.1;0.2;0.4;0.105
0.2;0.2;0.4;0.2
0.3;0.2;0.4;0.295
0.4;0.2;0.4;0.39
0.5;0.2;0.4;0.485
0.6;0.2;0.4;0.58
0.7;0.2;0.4;0.675
0.8;0.2;0.4;0.77
0.9;0.2;0.4;0.865
1;0.2;0.4;0.96
0;0.3;0.4;0.015
0.1;0.3;0.4;0.11
0.2;0.3;0.4;0.205
0.3;0.3;0.4;0.3
0.4;0.3;0.4;0.395
0.5;0.3;0.4;0.49
0.6;0.3;0.4;0.585
0.7;0.3;0.4;0.68
0.8;0.3;0.4;0.775
0.9;0.3;0.4;0.87
1;0.3;0.4;0.965
0;0.4;0.4;0.02
0.1;0.4;0.4;0.115
0.2;0.4;0.4;0.21
0.3;0.4;0.4;0.305
0.4;0.4;0.4;0.4
0.5;0.4;0.4;0.495
0.6;0.4;0.4;0.59
0.7;0.4;0.4;0.685
0.8;0.4;0.4;0.78
0.9;0.4;0.4;0.875
1;0.4;0.4;0.97
0;0.5;0.4;0.025
0.1;0.5;0.4;0.12
0.2;0.5;0.4;0.215
0.3;0.5;0.4;0.31
0.4;0.5;0.4;0.405
0.5;0.5;0.4;0.5
0.6;0.5;0.4;0.595
0.7;0.5;0.4;0.69
0.8;0.5;0.4;0.785
0.9;0.5;0.4;0.88
1;0.5;0.4;0.975
0;0.6;0.4;0.03
0.1;0.6;0.4;0.125
0.2;0.6;0.4;0.22
0.3;0.6;0.4;0.315
0.4;0.6;0.4;0.41
0.5;0.6;0.4;0.505
0.6;0.6;0.4;0.6
0.7;0.6;0.4;0.695
0.8;0.6;0.4;0.79
0.9;0.6;0.4;0.885
1;0.6;0.4;0.98
0;0.7;0.4;0.035
0.1;0.7;0.4;0.13
0.2;0.7;0.4;0.225
0.3;0.7;0.4;0.32
0.4;0.7;0.4;0.415
0.5;0.7;0.4;0.51
0.6;0.7;0.4;0.605
0.7;0.7;0.4;0.7
0.8;0.7;0.4;0.795
0.9;0.7;0.4;0.89
1;0.7;0.4;0.985
0;0.8;0.4;0.04
0.1;0.8;0.4;0.135
0.2;0.8;0.4;0.23
0.3;0.8;0.4;0.325
0.4;0.8;0.4;0.42
0.5;0.8;0.4;0.515
0.6;0.8;0.4;0.61
0.7;0.8;0.4;0.705
0.8;0.8;0.4;0.8
0.9;0.8;0.4;0.895
1;0.8;0.4;0.99
0;0.9;0.4;0.045
0.1;0.9;0.4;0.14
0.2;0.9;0.4;0.235
0.3;0.9;0.4;0.33
0.4;0.9;0.4;0.425
0.5;0.9;0.4;0.52
0.6;0.9;0.4;0.615
0.7;0.9;0.4;0.71
0.8;0.9;0.4;0.805
0.9;0.9;0.4;0.9
1;0.9;0.4;0.995
0;1;0.4;0.05
0.1;1;0.4;0.145
0.2;1;0.4;0.24
0.3;1;0.4;0.335
0.4;1;0.4;0.43
0.5;1;0.4;0.525
0.6;1;0.4;0.62
0.7;1;0.4;0.715
0.8;1;0.4;0.81
0.9;1;0.4;0.905
1;1;0.4;1
0;0;0.6;0
0.1;0;0.6;0.0925
0.2;0;0.6;0.185
0.3;0;0.6;0.2775
0.4;0;0.6;0.37
0.5;0;0.6;0.4625
0.6;0;0.6;0.555
0.7;0;0.6;0.6475
0.8;0;0.6;0.74
0.9;0;0.6;0.8325
1;0;0.6;0.925
0;0.1;0.6;0.0075
0.1;0.1;0.6;0.1
0.2;0.1;0.6;0.1925
0.3;0.1;0.6;0.285
0.4;0.1;0.6;0.3775
0.5;0.1;0.6;0.47
0.6;0.1;0.6;0.5625
0.7;0.1;0.6;0.655
0.8;0.1;0.6;0.7475
0.9;0.1;0.6;0.84
1;0.1;0.6;0.9325
0;0.2;0.6;0.015
0.1;0.2;0.6;0.1075
0.2;0.2;0.6;0.2
0.3;0.2;0.6;0.2925
0.4;0.2;0.6;0.385
0.5;0.2;0.6;0.4775
0.6;0.2;0.6;0.57
0.7;0.2;0.6;0.6625
0.8;0.2;0.6;0.755
0.9;0.2;0.6;0.8475
1;0.2;0.6;0.94
0;0.3;0.6;0.0225
0.1;0.3;0.6;0.115
0.2;0.3;0.6;0.2075
0.3;0.3;0.6;0.3
0.4;0.3;0.6;0.3925
0.5;0.3;0.6;0.485
0.6;0.3;0.6;0.5775
0.7;0.3;0.6;0.67
0.8;0.3;0.6;0.7625
0.9;0.3;0.6;0.855
1;0.3;0.6;0.9475
0;0.4;0.6;0.03
0.1;0.4;0.6;0.1225
0.2;0.4;0.6;0.215
0.3;0.4;0.6;0.3075
0.4;0.4;0.6;0.4
0.5;0.4;0.6;0.4925
0.6;0.4;0.6;0.585
0.7;0.4;0.6;0.6775
0.8;0.4;0.6;0.77
0.9;0.4;0.6;0.8625
1;0.4;0.6;0.955
0;0.5;0.6;0.0375
0.1;0.5;0.6;0.13
0.2;0.5;0.6;0.2225
0.3;0.5;0.6;0.315
0.4;0.5;0.6;0.4075
0.5;0.5;0.6;0.5
0.6;0.5;0.6;0.5925
0.7;0.5;0.6;0.685
0.8;0.5;0.6;0.7775
0.9;0.5;0.6;0.87
1;0.5;0.6;0.9625
0;0.6;0.6;0.045
0.1;0.6;0.6;0.1375
0.2;0.6;0.6;0.23
0.3;0.6;0.6;0.3225
0.4;0.6;0.6;0.415
0.5;0.6;0.6;0.5075
0.6;0.6;0.6;0.6
0.7;0.6;0.6;0.6925
0.8;0.6;0.6;0.785
0.9;0.6;0.6;0.8775
1;0.6;0.6;0.97
0;0.7;0.6;0.0525
0.1;0.7;0.6;0.145
0.2;0.7;0.6;0.2375
0.3;0.7;0.6;0.33
0.4;0.7;0.6;0.4225
0.5;0.7;0.6;0.515
0.6;0.7;0.6;0.6075
0.7;0.7;0.6;0.7
0.8;0.7;0.6;0.7925
0.9;0.7;0.6;0.885
1;0.7;0.6;0.9775
0;0.8;0.6;0.06
0.1;0.8;0.6;0.1525
0.2;0.8;0.6;0.245
0.3;0.8;0.6;0.3375
0.4;0.8;0.6;0.43
0.5;0.8;0.6;0.5225
0.6;0.8;0.6;0.615
0.7;0.8;0.6;0.7075
0.8;0.8;0.6;0.8
0.9;0.8;0.6;0.8925
1;0.8;0.6;0.985
0;0.9;0.6;0.0675
0.1;0.9;0.6;0.16
0.2;0.9;0.6;0.2525
0.3;0.9;0.6;0.345
0.4;0.9;0.6;0.4375
0.5;0.9;0.6;0.53
0.6;0.9;0.6;0.6225
0.7;0.9;0.6;0.715
0.8;0.9;0.6;0.8075
0.9;0.9;0.6;0.9
1;0.9;0.6;0.9925
0;1;0.6;0.075
0.1;1;0.6;0.1675
0.2;1;0.6;0.26
0.3;1;0.6;0.3525
0.4;1;0.6;0.445
0.5;1;0.6;0.5375
0.6;1;0.6;0.63
0.7;1;0.6;0.7225
0.8;1;0.6;0.815
0.9;1;0.6;0.9075
1;1;0.6;1
0;0;0.8;0
0.1;0;0.8;0.09
0.2;0;0.8;0.18
0.3;0;0.8;0.27
0.4;0;0.8;0.36
0.5;0;0.8;0.45
0.6;0;0.8;0.54
0.7;0;0.8;0.63
0.8;0;0.8;0.72
0.9;0;0.8;0.81
1;0;0.8;0.9
0;0.1;0.8;0.01
0.1;0.1;0.8;0.1
0.2;0.1;0.8;0.19
0.3;0.1;0.8;0.28
0.4;0.1;0.8;0.37
0.5;0.1;0.8;0.46
0.6;0.1;0.8;0.55
0.7;0.1;0.8;0.64
0.8;0.1;0.8;0.73
0.9;0.1;0.8;0.82
1;0.1;0.8;0.91
0;0.2;0.8;0.02
0.1;0.2;0.8;0.11
0.2;0.2;0.8;0.2
0.3;0.2;0.8;0.29
0.4;0.2;0.8;0.38
0.5;0.2;0.8;0.47
0.6;0.2;0.8;0.56
0.7;0.2;0.8;0.65
0.8;0.2;0.8;0.74
0.9;0.2;0.8;0.83
1;0.2;0.8;0.92
0;0.3;0.8;0.03
0.1;0.3;0.8;0.12
0.2;0.3;0.8;0.21
0.3;0.3;0.8;0.3
0.4;0.3;0.8;0.39
0.5;0.3;0.8;0.48
0.6;0.3;0.8;0.57
0.7;0.3;0.8;0.66
0.8;0.3;0.8;0.75
0.9;0.3;0.8;0.84
1;0.3;0.8;0.93
0;0.4;0.8;0.04
0.1;0.4;0.8;0.13
0.2;0.4;0.8;0.22
0.3;0.4;0.8;0.31
0.4;0.4;0.8;0.4
0.5;0.4;0.8;0.49
0.6;0.4;0.8;0.58
0.7;0.4;0.8;0.67
0.8;0.4;0.8;0.76
0.9;0.4;0.8;0.85
1;0.4;0.8;0.94
0;0.5;0.8;0.05
0.1;0.5;0.8;0.14
0.2;0.5;0.8;0.23
0.3;0.5;0.8;0.32
0.4;0.5;0.8;0.41
0.5;0.5;0.8;0.5
0.6;0.5;0.8;0.59
0.7;0.5;0.8;0.68
0.8;0.5;0.8;0.77
0.9;0.5;0.8;0.86
1;0.5;0.8;0.95
0;0.6;0.8;0.06
0.1;0.6;0.8;0.15
0.2;0.6;0.8;0.24
0.3;0.6;0.8;0.33
0.4;0.6;0.8;0.42
0.5;0.6;0.8;0.51
0.6;0.6;0.8;0.6
0.7;0.6;0.8;0.69
0.8;0.6;0.8;0.78
0.9;0.6;0.8;0.87
1;0.6;0.8;0.96
0;0.7;0.8;0.07
0.1;0.7;0.8;0.16
0.2;0.7;0.8;0.25
0.3;0.7;0.8;0.34
0.4;0.7;0.8;0.43
0.5;0.7;0.8;0.52
0.6;0.7;0.8;0.61
0.7;0.7;0.8;0.7
0.8;0.7;0.8;0.79
0.9;0.7;0.8;0.88
1;0.7;0.8;0.97
0;0.8;0.8;0.08
0.1;0.8;0.8;0.17
0.2;0.8;0.8;0.26
0.3;0.8;0.8;0.35
0.4;0.8;0.8;0.44
0.5;0.8;0.8;0.53
0.6;0.8;0.8;0.62
0.7;0.8;0.8;0.71
0.8;0.8;0.8;0.8
0.9;0.8;0.8;0.89
1;0.8;0.8;0.98
0;0.9;0.8;0.09
0.1;0.9;0.8;0.18
0.2;0.9;0.8;0.27
0.3;0.9;0.8;0.36
0.4;0.9;0.8;0.45
0.5;0.9;0.8;0.54
0.6;0.9;0.8;0.63
0.7;0.9;0.8;0.72
0.8;0.9;0.8;0.81
0.9;0.9;0.8;0.9
1;0.9;0.8;0.99
0;1;0.8;0.1
0.1;1;0.8;0.19
0.2;1;0.8;0.28
0.3;1;0.8;0.37
0.4;1;0.8;0.46
0.5;1;0.8;0.55
0.6;1;0.8;0.64
0.7;1;0.8;0.73
0.8;1;0.8;0.82
0.9;1;0.8;0.91
1;1;0.8;1
0;0;1;0
0.1;0;1;0.0875
0.2;0;1;0.175
0.3;0;1;0.2625
0.4;0;1;0.35
0.5;0;1;0.4375
0.6;0;1;0.525
0.7;0;1;0.6125
0.8;0;1;0.7
0.9;0;1;0.7875
1;0;1;0.875
0;0.1;1;0.0125
0.1;0.1;1;0.1
0.2;0.1;1;0.1875
0.3;0.1;1;0.275
0.4;0.1;1;0.3625
0.5;0.1;1;0.45
0.6;0.1;1;0.5375
0.7;0.1;1;0.625
0.8;0.1;1;0.7125
0.9;0.1;1;0.8
1;0.1;1;0.8875
0;0.2;1;0.025
0.1;0.2;1;0.1125
0.2;0.2;1;0.2
0.3;0.2;1;0.2875
0.4;0.2;1;0.375
0.5;0.2;1;0.4625
0.6;0.2;1;0.55
0.7;0.2;1;0.6375
0.8;0.2;1;0.725
0.9;0.2;1;0.8125
1;0.2;1;0.9
0;0.3;1;0.0375
0.1;0.3;1;0.125
0.2;0.3;1;0.2125
0.3;0.3;1;0.3
0.4;0.3;1;0.3875
0.5;0.3;1;0.475
0.6;0.3;1;0.5625
0.7;0.3;1;0.65
0.8;0.3;1;0.7375
0.9;0.3;1;0.825
1;0.3;1;0.9125
0;0.4;1;0.05
0.1;0.4;1;0.1375
0.2;0.4;1;0.225
0.3;0.4;1;0.3125
0.4;0.4;1;0.4
0.5;0.4;1;0.4875
0.6;0.4;1;0.575
0.7;0.4;1;0.6625
0.8;0.4;1;0.75
0.9;0.4;1;0.8375
1;0.4;1;0.925
0;0.5;1;0.0625
0.1;0.5;1;0.15
0.2;0.5;1;0.2375
0.3;0.5;1;0.325
0.4;0.5;1;0.4125
0.5;0.5;1;0.5
0.6;0.5;1;0.5875
0.7;0.5;1;0.675
0.8;0.5;1;0.7625
0.9;0.5;1;0.85
1;0.5;1;0.9375
0;0.6;1;0.075
0.1;0.6;1;0.1625
0.2;0.6;1;0.25
0.3;0.6;1;0.3375
0.4;0.6;1;0.425
0.5;0.6;1;0.5125
0.6;0.6;1;0.6
0.7;0.6;1;0.6875
0.8;0.6;1;0.775
0.9;0.6;1;0.8625
1;0.6;1;0.95
0;0.7;1;0.0875
0.1;0.7;1;0.175
0.2;0.7;1;0.2625
0.3;0.7;1;0.35
0.4;0.7;1;0.4375
0.5;0.7;1;0.525
0.6;0.7;1;0.6125
0.7;0.7;1;0.7
0.8;0.7;1;0.7875
0.9;0.7;1;0.875
1;0.7;1;0.9625
0;0.8;1;0.1
0.1;0.8;1;0.1875
0.2;0.8;1;0.275
0.3;0.8;1;0.3625
0.4;0.8;1;0.45
0.5;0.8;1;0.5375
0.6;0.8;1;0.625
0.7;0.8;1;0.7125
0.8;0.8;1;0.8
0.9;0.8;1;0.8875
1;0.8;1;0.975
0;0.9;1;0.1125
0.1;0.9;1;0.2
0.2;0.9;1;0.2875
0.3;0.9;1;0.375
0.4;0.9;1;0.4625
0.5;0.9;1;0.55
0.6;0.9;1;0.6375
0.7;0.9;1;0.725
0.8;0.9;1;0.8125
0.9;0.9;1;0.9
1;0.9;1;0.9875
0;1;1;0.125
0.1;1;1;0.2125
0.2;1;1;0.3
0.3;1;1;0.3875
0.4;1;1;0.475
0.5;1;1;0.5625
0.6;1;1;0.65
0.7;1;1;0.7375
0.8;1;1;0.825
0.9;1;1;0.9125
1;1;1;1
0;0;1.2;0
0.1;0;1.2;0.085
0.2;0;1.2;0.17
0.3;0;1.2;0.255
0.4;0;1.2;0.34
0.5;0;1.2;0.425
0.6;0;1.2;0.51
0.7;0;1.2;0.595
0.8;0;1.2;0.68
0.9;0;1.2;0.765
1;0;1.2;0.85
0;0.1;1.2;0.015
0.1;0.1;1.2;0.1
0.2;0.1;1.2;0.185
0.3;0.1;1.2;0.27
0.4;0.1;1.2;0.355
0.5;0.1;1.2;0.44
0.6;0.1;1.2;0.525
0.7;0.1;1.2;0.61
0.8;0.1;1.2;0.695
0.9;0.1;1.2;0.78
1;0.1;1.2;0.865
0;0.2;1.2;0.03
0.1;0.2;1.2;0.115
0.2;0.2;1.2;0.2
0.3;0.2;1.2;0.285
0.4;0.2;1.2;0.37
0.5;0.2;1.2;0.455
0.6;0.2;1.2;0.54
0.7;0.2;1.2;0.625
0.8;0.2;1.2;0.71
0.9;0.2;1.2;0.795
1;0.2;1.2;0.88
0;0.3;1.2;0.045
0.1;0.3;1.2;0.13
0.2;0.3;1.2;0.215
0.3;0.3;1.2;0.3
0.4;0.3;1.2;0.385
0.5;0.3;1.2;0.47
0.6;0.3;1.2;0.555
0.7;0.3;1.2;0.64
0.8;0.3;1.2;0.725
0.9;0.3;1.2;0.81
1;0.3;1.2;0.895
0;0.4;1.2;0.06
0.1;0.4;1.2;0.145
0.2;0.4;1.2;0.23
0.3;0.4;1.2;0.315
0.4;0.4;1.2;0.4
0.5;0.4;1.2;0.485
0.6;0.4;1.2;0.57
0.7;0.4;1.2;0.655
0.8;0.4;1.2;0.74
0.9;0.4;1.2;0.825
1;0.4;1.2;0.91
0;0.5;1.2;0.075
0.1;0.5;1.2;0.16
0.2;0.5;1.2;0.245
0.3;0.5;1.2;0.33
0.4;0.5;1.2;0.415
0.5;0.5;1.2;0.5
0.6;0.5;1.2;0.585
0.7;0.5;1.2;0.67
0.8;0.5;1.2;0.755
0.9;0.5;1.2;0.84
1;0.5;1.2;0.925
0;0.6;1.2;0.09
0.1;0.6;1.2;0.175
0.2;0.6;1.2;0.26
0.3;0.6;1.2;0.345
0.4;0.6;1.2;0.43
0.5;0.6;1.2;0.515
0.6;0.6;1.2;0.6
0.7;0.6;1.2;0.685
0.8;0.6;1.2;0.77
0.9;0.6;1.2;0.855
1;0.6;1.2;0.94
0;0.7;1.2;0.105
0.1;0.7;1.2;0.19
0.2;0.7;1.2;0.275
0.3;0.7;1.2;0.36
0.4;0.7;1.2;0.445
0.5;0.7;1.2;0.53
0.6;0.7;1.2;0.615
0.7;0.7;1.2;0.7
0.8;0.7;1.2;0.785
0.9;0.7;1.2;0.87
1;0.7;1.2;0.955
0;0.8;1.2;0.12
0.1;0.8;1.2;0.205
0.2;0.8;1.2;0.29
0.3;0.8;1.2;0.375
0.4;0.8;1.2;0.46
0.5;0.8;1.2;0.545
0.6;0.8;1.2;0.63
0.7;0.8;1.2;0.715
0.8;0.8;1.2;0.8
0.9;0.8;1.2;0.885
1;0.8;1.2;0.97
0;0.9;1.2;0.135
0.1;0.9;1.2;0.22
0.2;0.9;1.2;0.305
0.3;0.9;1.2;0.39
0.4;0.9;1.2;0.475
0.5;0.9;1.2;0.56
0.6;0.9;1.2;0.645
0.7;0.9;1.2;0.73
0.8;0.9;1.2;0.815
0.9;0.9;1.2;0.9
1;0.9;1.2;0.985
0;1;1.2;0.15
0.1;1;1.2;0.235
0.2;1;1.2;0.32
0.3;1;1.2;0.405
0.4;1;1.2;0.49
0.5;1;1.2;0.575
0.6;1;1.2;0.66
0.7;1;1.2;0.745
0.8;1;1.2;0.83
0.9;1;1.2;0.915
1;1;1.2;1
0;0;1.4;0
0.1;0;1.4;0.0825
0.2;0;1.4;0.165
0.3;0;1.4;0.2475
0.4;0;1.4;0.33
0.5;0;1.4;0.4125
0.6;0;1.4;0.495
0.7;0;1.4;0.5775
0.8;0;1.4;0.66
0.9;0;1.4;0.7425
1;0;1.4;0.825
0;0.1;1.4;0.0175
0.1;0.1;1.4;0.1
0.2;0.1;1.4;0.1825
0.3;0.1;1.4;0.265
0.4;0.1;1.4;0.3475
0.5;0.1;1.4;0.43
0.6;0.1;1.4;0.5125
0.7;0.1;1.4;0.595
0.8;0.1;1.4;0.6775
0.9;0.1;1.4;0.76
1;0.1;1.4;0.8425
0;0.2;1.4;0.035
0.1;0.2;1.4;0.1175
0.2;0.2;1.4;0.2
0.3;0.2;1.4;0.2825
0.4;0.2;1.4;0.365
0.5;0.2;1.4;0.4475
0.6;0.2;1.4;0.53
0.7;0.2;1.4;0.6125
0.8;0.2;1.4;0.695
0.9;0.2;1.4;0.7775
1;0.2;1.4;0.86
0;0.3;1.4;0.0525
0.1;0.3;1.4;0.135
0.2;0.3;1.4;0.2175
0.3;0.3;1.4;0.3
0.4;0.3;1.4;0.3825
0.5;0.3;1.4;0.465
0.6;0.3;1.4;0.5475
0.7;0.3;1.4;0.63
0.8;0.3;1.4;0.7125
0.9;0.3;1.4;0.795
1;0.3;1.4;0.8775
0;0.4;1.4;0.07
0.1;0.4;1.4;0.1525
0.2;0.4;1.4;0.235
0.3;0.4;1.4;0.3175
0.4;0.4;1.4;0.4
0.5;0.4;1.4;0.4825
0.6;0.4;1.4;0.565
0.7;0.4;1.4;0.6475
0.8;0.4;1.4;0.73
0.9;0.4;1.4;0.8125
1;0.4;1.4;0.895
0;0.5;1.4;0.0875
0.1;0.5;1.4;0.17
0.2;0.5;1.4;0.2525
0.3;0.5;1.4;0.335
0.4;0.5;1.4;0.4175
0.5;0.5;1.4;0.5
0.6;0.5;1.4;0.5825
0.7;0.5;1.4;0.665
0.8;0.5;1.4;0.7475
0.9;0.5;1.4;0.83
1;0.5;1.4;0.9125
0;0.6;1.4;0.105
0.1;0.6;1.4;0.1875
0.2;0.6;1.4;0.27
0.3;0.6;1.4;0.3525
0.4;0.6;1.4;0.435
0.5;0.6;1.4;0.5175
0.6;0.6;1.4;0.6
0.7;0.6;1.4;0.6825
0.8;0.6;1.4;0.765
0.9;0.6;1.4;0.8475
1;0.6;1.4;0.93
0;0.7;1.4;0.1225
0.1;0.7;1.4;0.205
0.2;0.7;1.4;0.2875
0.3;0.7;1.4;0.37
0.4;0.7;1.4;0.4525
0.5;0.7;1.4;0.535
0.6;0.7;1.4;0.6175
0.7;0.7;1.4;0.7
0.8;0.7;1.4;0.7825
